subjID,disc,corr,locModality,locResp,ujdg,audVE,visVE
2,-20,-0.5,1,23.3089289435183,2,-1.69298720546366,NaN
2,-20,1,2,-8.7015740191389,2,NaN,4.42861235227842
2,10,-0.5,1,-1.41394944159636,2,2.42323800280064,NaN
2,-10,0.5,1,3.14317598645061,2,-6.03683923286375,NaN
2,-10,0,2,19.1032083272488,2,NaN,2.85468349861289
2,-20,-1,2,-8.84572933123527,2,NaN,4.28445704018205
2,-10,1,1,-22.3056679981902,2,-1.92910775579082,NaN
2,10,-1,2,-17.8922949120832,2,NaN,-4.76210854066591
2,0,1,1,16.4888519265844,2,-3.74112335955953,NaN
2,0,-1,2,-24.4067817766789,1,NaN,-0.936192181703319
2,10,0.5,1,-1.29996725425948,2,2.53722019013752,NaN
2,20,1,1,-18.4678529889241,2,7.43308831650874,NaN
2,20,-1,2,-0.568614955604108,2,NaN,-5.70262080278893
2,20,0,2,-7.31642906267759,2,NaN,-3.92221917550918
2,-20,-1,1,23.7121252829573,2,-1.28979086602467,NaN
2,20,0,2,4.77026165916589,2,NaN,-0.363744188018923
2,20,-1,1,12.2181207096741,2,3.03810549035977,NaN
2,-20,-0.5,1,9.69954301898164,2,-10.5304322671623,NaN
2,20,0.5,2,12.7969202210197,2,NaN,-3.45160460761614
2,10,-0.5,2,5.68232770015985,2,NaN,0.548321852975035
2,0,-0.5,1,-25.6096521650211,1,0.291289140411745,NaN
2,-10,1,1,-3.84304550371268,2,-0.00585805931567585,NaN
2,10,1,2,15.1320612788603,2,NaN,-1.11646354977557
2,-10,0,2,-9.85187439076663,2,NaN,3.27831198065069
2,-10,-0.5,1,-21.9234590010226,2,-1.54689875862316,NaN
2,20,1,1,-7.2884567289651,2,13.0881035134343,NaN
2,0,1,2,26.0421541867725,2,NaN,1.25860668322967
2,0,0.5,1,-25.8013159672417,1,0.0996253381911956,NaN
2,10,0.5,2,-4.21242196243493,2,NaN,-0.818212075266517
2,20,-0.5,2,21.5510707494836,2,NaN,-3.23247675405924
2,10,-1,1,13.161536292189,2,3.9815210728746,NaN
2,-20,1,1,-21.5985877527943,1,-17.7614003083973,NaN
2,-10,0.5,2,20.5250629813413,2,NaN,4.27653815270542
2,-10,-1,1,21.2250767897252,1,-3.77683935925684,NaN
2,10,0,2,15.1171758386268,2,NaN,-1.13134899000907
2,-20,0.5,2,9.91791345075923,1,NaN,13.3121233379276
2,-20,0,1,12.7972240050169,2,-7.43275128112701,NaN
2,0,-1,1,-16.6394137722172,1,3.73714647018222,NaN
2,0,0,2,24.4769443077754,1,NaN,-0.306603195767444
2,10,0,1,-11.7712485292678,2,8.60531171313165,NaN
2,10,-1,2,-14.8512698920774,2,NaN,-1.72108352066011
2,0,-1,1,15.7822658891144,1,-4.44770939702953,NaN
2,10,-0.5,2,-20.5085302523259,1,NaN,-7.37834388090859
2,10,1,1,12.0810381067078,1,2.90102288739343,NaN
